Code,Occupation_Name,Nom_de_la_profession,Employment_emploi_2023,Employment_Growth_croissance_emploi,Retirements_retraites,Other_Replacement_autre_remplacement,Total_Job_Openings_Perspective_d'emploi,School_Leavers_Sortants_scolaires,Immigration,Other_Seekers_autres_chercheurs,Job_Seekers_Chercheurs_emploi,Recent_Labour_Market_Conditions,Conditions_récentes_sur_le_marché_du_travail,Future_Labour_Market_Conditions,Conditions_futures_sur_le_marché_du_travail
65210,"Support occupations in accommodation, travel and facilities set-up services","Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation",3600,100,200,200,600,800,200,0,900,Balance,À équilibre,Balance,À équilibre
65211,"Operators and attendants in amusement, recreation and sport","Opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions",65200,10900,7700,3000,21600,25800,1700,-2700,24900,Balance,À équilibre,Balance,À équilibre
65220,Pet groomers and animal care workers,Soigneurs/soigneuses d'animaux et travailleurs/travailleuses en soins des animaux,35500,6600,5000,1900,13500,13700,1400,-500,14600,Balance,À équilibre,Balance,À équilibre
65229,Other support occupations in personal services,Autres professions de soutien dans les services personnels,3800,300,900,300,1500,1500,400,-300,1600,Balance,À équilibre,Balance,À équilibre
65310,Light duty cleaners,Préposés/préposées à l'entretien ménager et au nettoyage - travaux légers,228000,37000,70100,15800,122900,33500,47700,39500,120700,Balance,À équilibre,Balance,À équilibre
65311,Specialized cleaners,Nettoyeurs spécialisés/nettoyeuses spécialisées,41900,4000,6500,2100,12600,14400,5400,-7500,12300,Balance,À équilibre,Balance,À équilibre
65312,"Janitors, caretakers and heavy-duty cleaners",Concierges et nettoyeurs/nettoyeuses – gros travaux,107000,3200,40000,8000,51200,14500,14700,21200,50400,Balance,À équilibre,Balance,À équilibre
65320,"Dry cleaning, laundry and related occupations",Personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé,13900,700,5200,1100,7000,1500,2400,2400,6300,Balance,À équilibre,Balance,À équilibre
65329,Other service support occupations,Autre personnel de soutien en service,24500,700,5700,1700,8200,7700,2400,-1500,8600,Balance,À équilibre,Balance,À équilibre
70010,Construction managers,Directeurs/directrices de la construction,108900,15300,22100,7200,44600,4200,11700,12000,27900,Balance,À équilibre,Moderate risk of Shortage,Risque modéré de pénurie
70011,Home building and renovation managers,Gestionnaires en construction et rénovation domiciliaire,146000,20600,41800,10000,72400,2600,15200,17900,35700,Balance,À équilibre,Moderate risk of Shortage,Risque modéré de pénurie
70012,Facility operation and maintenance managers,Directeurs/directrices de l'exploitation et de l'entretien d'immeubles,35300,4000,10200,2400,16500,1000,3000,13000,16900,Balance,À équilibre,Balance,À équilibre
70020,Managers in transportation,Directeurs/directrices des transports,37700,5300,8200,2400,15800,1100,3500,12100,16700,Balance,À équilibre,Balance,À équilibre
70021,Postal and courier services managers,Directeurs/directrices des services postaux et de messageries,3300,500,700,200,1400,100,300,1000,1400,Balance,À équilibre,Balance,À équilibre
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",20200,2200,4000,1300,7500,1400,900,5600,7900,Balance,À équilibre,Balance,À équilibre
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en électricité et en télécommunications,32400,3000,6500,2000,11500,5400,1500,4700,11700,Balance,À équilibre,Balance,À équilibre
72012,"Contractors and supervisors, pipefitting trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en tuyauterie,14100,1900,3100,800,5900,2100,700,3200,6100,Balance,À équilibre,Balance,À équilibre
