title,category,slug,noc_code,median_pay_annual,median_pay_hourly,entry_education,num_jobs_2023,projected_job_openings_2033,outlook_pct,outlook_desc,future_lmc,recent_lmc,url
Mechanical engineering technologists and technicians,Natural and applied sciences,mechanical-engineering-technologists-and-technicians,22301,70200,35.1,College diploma or apprenticeship (2+ years),21900,8300,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/3222/ca
Industrial engineering and manufacturing technologists and technicians,Natural and applied sciences,industrial-engineering-and-manufacturing-technologists-and-technicians,22302,70200,35.1,College diploma or apprenticeship (2+ years),22400,9000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22605/ca
Construction estimators,Natural and applied sciences,construction-estimators,22303,70200,35.1,College diploma or apprenticeship (2+ years),22900,12600,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/3273/ca
Electrical and electronics engineering technologists and technicians,Natural and applied sciences,electrical-and-electronics-engineering-technologists-and-technicians,22310,70200,35.1,College diploma or apprenticeship (2+ years),28500,12800,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/18069/ca
Electronic service technicians (household and business equipment),Natural and applied sciences,electronic-service-technicians-household-and-business-equipment,22311,70200,35.1,College diploma or apprenticeship (2+ years),44600,19200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3313/ca
Industrial instrument technicians and mechanics,Natural and applied sciences,industrial-instrument-technicians-and-mechanics,22312,70200,35.1,College diploma or apprenticeship (2+ years),12100,3100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22636/ca
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",Natural and applied sciences,aircraft-instrument-electrical-and-avionics-mechanics-technicians-and-inspectors,22313,70200,35.1,College diploma or apprenticeship (2+ years),3500,1600,6,Moderate Shortage,Moderate risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/3351/ca
Managers in health care,Health occupations,managers-in-health-care,30010,98658,49.33,College diploma or apprenticeship (<2 years),43600,27000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1489/ca
Specialists in clinical and laboratory medicine,Health occupations,specialists-in-clinical-and-laboratory-medicine,31100,98658,49.33,College diploma or apprenticeship (<2 years),34000,18000,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4006/ca
Specialists in surgery,Health occupations,specialists-in-surgery,31101,98658,49.33,College diploma or apprenticeship (<2 years),10500,5400,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Specialists%20in%20surgery
General practitioners and family physicians,Health occupations,general-practitioners-and-family-physicians,31102,98658,49.33,College diploma or apprenticeship (<2 years),76000,47800,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/24438/ca
Veterinarians,Health occupations,veterinarians,31103,98658,49.33,College diploma or apprenticeship (<2 years),12600,6500,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Veterinarians
Dentists,Health occupations,dentists,31110,98658,49.33,College diploma or apprenticeship (<2 years),21400,15000,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Dentists
Optometrists,Health occupations,optometrists,31111,98658,49.33,College diploma or apprenticeship (<2 years),6400,4800,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Optometrists
Audiologists and speech-language pathologists,Health occupations,audiologists-and-speech-language-pathologists,31112,98658,49.33,College diploma or apprenticeship (<2 years),18300,8400,6,Moderate Shortage,Moderate risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Audiologists%20and%20speech-language%20pathologists
Pharmacists,Health occupations,pharmacists,31120,98658,49.33,College diploma or apprenticeship (<2 years),47700,23000,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Pharmacists
Dietitians and nutritionists,Health occupations,dietitians-and-nutritionists,31121,98658,49.33,College diploma or apprenticeship (<2 years),12300,6000,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4146/ca
Psychologists,Health occupations,psychologists,31200,98658,49.33,College diploma or apprenticeship (<2 years),24900,14200,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/2235/ca
Chiropractors,Health occupations,chiropractors,31201,98658,49.33,College diploma or apprenticeship (<2 years),9800,5100,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Chiropractors
Physiotherapists,Health occupations,physiotherapists,31202,98658,49.33,College diploma or apprenticeship (<2 years),38300,18700,6,Moderate Shortage,Moderate risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Physiotherapists
Occupational therapists,Health occupations,occupational-therapists,31203,98658,49.33,College diploma or apprenticeship (<2 years),22700,10000,6,Moderate Shortage,Moderate risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4168/ca
Kinesiologists and other professional occupations in therapy and assessment,Health occupations,kinesiologists-and-other-professional-occupations-in-therapy-and-assessment,31204,98658,49.33,College diploma or apprenticeship (<2 years),9400,4300,2,Balance,Balance,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/25168/ca
Other professional occupations in health diagnosing and treating,Health occupations,other-professional-occupations-in-health-diagnosing-and-treating,31209,98658,49.33,College diploma or apprenticeship (<2 years),8700,4600,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Other%20professional%20occupations%20in%20health%20diagnosing%20and%20treating
Nursing coordinators and supervisors,Health occupations,nursing-coordinators-and-supervisors,31300,98658,49.33,College diploma or apprenticeship (<2 years),28000,17600,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/18227/ca
Registered nurses and registered psychiatric nurses,Health occupations,registered-nurses-and-registered-psychiatric-nurses,31301,98658,49.33,College diploma or apprenticeship (<2 years),363100,179800,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/993/ca
Nurse practitioners,Health occupations,nurse-practitioners,31302,98658,49.33,College diploma or apprenticeship (<2 years),5600,3400,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Nurse%20practitioners
"Physician assistants, midwives and allied health professionals",Health occupations,physician-assistants-midwives-and-allied-health-professionals,31303,98658,49.33,College diploma or apprenticeship (<2 years),6400,2500,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/25500/ca
Opticians,Health occupations,opticians,32100,67500,33.75,College diploma or apprenticeship (<2 years),11700,6100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/4345/ca
Licensed practical nurses,Health occupations,licensed-practical-nurses,32101,67500,33.75,College diploma or apprenticeship (<2 years),62600,27900,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4380/ca
Paramedical occupations,Health occupations,paramedical-occupations,32102,67500,33.75,College diploma or apprenticeship (<2 years),40700,20900,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4402/ca
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",Health occupations,respiratory-therapists-clinical-perfusionists-and-cardiopulmonary-technologists,32103,67500,33.75,College diploma or apprenticeship (<2 years),13400,4900,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/22786/ca
Animal health technologists and veterinary technicians,Health occupations,animal-health-technologists-and-veterinary-technicians,32104,67500,33.75,College diploma or apprenticeship (<2 years),25800,8400,6,Moderate Shortage,Moderate risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4229/ca
Other technical occupations in therapy and assessment,Health occupations,other-technical-occupations-in-therapy-and-assessment,32109,67500,33.75,College diploma or apprenticeship (<2 years),20600,11300,6,Moderate Shortage,Moderate risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4428/ca
Denturists,Health occupations,denturists,32110,67500,33.75,College diploma or apprenticeship (<2 years),2000,1000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Denturists
Dental hygienists and dental therapists,Health occupations,dental-hygienists-and-dental-therapists,32111,67500,33.75,College diploma or apprenticeship (<2 years),33900,15900,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/18315/ca
Dental technologists and technicians,Health occupations,dental-technologists-and-technicians,32112,67500,33.75,College diploma or apprenticeship (<2 years),6400,2600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22805/ca
Medical laboratory technologists,Health occupations,medical-laboratory-technologists,32120,67500,33.75,College diploma or apprenticeship (<2 years),24300,15100,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4187/ca
Medical radiation technologists,Health occupations,medical-radiation-technologists,32121,67500,33.75,College diploma or apprenticeship (<2 years),28100,15200,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/18292/ca
Medical sonographers,Health occupations,medical-sonographers,32122,67500,33.75,College diploma or apprenticeship (<2 years),9600,5600,6,Moderate Shortage,Moderate risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4239/ca
Cardiology technologists and electrophysiological diagnostic technologists,Health occupations,cardiology-technologists-and-electrophysiological-diagnostic-technologists,32123,67500,33.75,College diploma or apprenticeship (<2 years),5600,3100,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4268/ca
Pharmacy technicians,Health occupations,pharmacy-technicians,32124,67500,33.75,College diploma or apprenticeship (<2 years),32600,13800,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/25660/ca
Other medical technologists and technicians,Health occupations,other-medical-technologists-and-technicians,32129,67500,33.75,College diploma or apprenticeship (<2 years),7300,2400,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4291/ca
Traditional Chinese medicine practitioners and acupuncturists,Health occupations,traditional-chinese-medicine-practitioners-and-acupuncturists,32200,67500,33.75,College diploma or apprenticeship (<2 years),8100,5000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/4354/ca
Massage therapists,Health occupations,massage-therapists,32201,67500,33.75,College diploma or apprenticeship (<2 years),45000,21500,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/24680/ca
Other practitioners of natural healing,Health occupations,other-practitioners-of-natural-healing,32209,67500,33.75,College diploma or apprenticeship (<2 years),4700,2800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/4363/ca
Dental assistants and dental laboratory assistants,Health occupations,dental-assistants-and-dental-laboratory-assistants,33100,51300,25.65,College diploma or apprenticeship (<2 years),38000,18300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/4475/ca
Medical laboratory assistants and related technical occupations,Health occupations,medical-laboratory-assistants-and-related-technical-occupations,33101,51300,25.65,College diploma or apprenticeship (<2 years),33400,16300,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4220/ca
"Nurse aides, orderlies and patient service associates",Health occupations,nurse-aides-orderlies-and-patient-service-associates,33102,51300,25.65,College diploma or apprenticeship (<2 years),296900,177400,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/15774/ca
Pharmacy technical assistants and pharmacy assistants,Health occupations,pharmacy-technical-assistants-and-pharmacy-assistants,33103,51300,25.65,College diploma or apprenticeship (<2 years),33900,14600,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/4482/ca
Other assisting occupations in support of health services,Health occupations,other-assisting-occupations-in-support-of-health-services,33109,51300,25.65,College diploma or apprenticeship (<2 years),32000,18600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/4549/ca
Government managers - health and social policy development and program administration,"Education, law and social services",government-managers-health-and-social-policy-development-and-program-administration,40010,94500,47.25,Secondary school diploma,7800,4200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1896/ca
"Government managers - economic analysis, policy development and program administration","Education, law and social services",government-managers-economic-analysis-policy-development-and-program-administration,40011,94500,47.25,Secondary school diploma,12700,5200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12269/ca
Government managers - education policy development and program administration,"Education, law and social services",government-managers-education-policy-development-and-program-administration,40012,94500,47.25,Secondary school diploma,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/marketreport/summary-occupation/1921/ca
Other managers in public administration,"Education, law and social services",other-managers-in-public-administration,40019,94500,47.25,Secondary school diploma,32300,18700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1954/ca
Administrators - post-secondary education and vocational training,"Education, law and social services",administrators-post-secondary-education-and-vocational-training,40020,94500,47.25,Secondary school diploma,17000,9000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/25087/ca
School principals and administrators of elementary and secondary education,"Education, law and social services",school-principals-and-administrators-of-elementary-and-secondary-education,40021,94500,47.25,Secondary school diploma,39500,16300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/227363/ca
"Managers in social, community and correctional services","Education, law and social services",managers-in-social-community-and-correctional-services,40030,94500,47.25,Secondary school diploma,46700,19100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/227358/ca
Commissioned police officers and related occupations in public protection services,"Education, law and social services",commissioned-police-officers-and-related-occupations-in-public-protection-services,40040,94500,47.25,Secondary school diploma,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Commissioned%20police%20officers%20and%20related%20occupations%20in%20public%20protection%20services
Fire chiefs and senior firefighting officers,"Education, law and social services",fire-chiefs-and-senior-firefighting-officers,40041,94500,47.25,Secondary school diploma,2700,1600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Fire%20chiefs%20and%20senior%20firefighting%20officers
Commissioned officers of the Canadian Armed Forces,"Education, law and social services",commissioned-officers-of-the-canadian-armed-forces,40042,94500,47.25,Secondary school diploma,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/marketreport/summary-occupation/25033/ca
Judges,"Education, law and social services",judges,41100,94500,47.25,Secondary school diploma,4100,2800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Judges
Lawyers and Quebec notaries,"Education, law and social services",lawyers-and-quebec-notaries,41101,94500,47.25,Secondary school diploma,124300,41300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Lawyers%20and%20Quebec%20notaries
University professors and lecturers,"Education, law and social services",university-professors-and-lecturers,41200,94500,47.25,Secondary school diploma,86000,37600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/4655/ca
Post-secondary teaching and research assistants,"Education, law and social services",post-secondary-teaching-and-research-assistants,41201,94500,47.25,Secondary school diploma,84200,18000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22838/ca
College and other vocational instructors,"Education, law and social services",college-and-other-vocational-instructors,41210,94500,47.25,Secondary school diploma,131100,60600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/22865/ca
Secondary school teachers,"Education, law and social services",secondary-school-teachers,41220,94500,47.25,Secondary school diploma,175100,75000,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/15904/ca
Elementary school and kindergarten teachers,"Education, law and social services",elementary-school-and-kindergarten-teachers,41221,94500,47.25,Secondary school diploma,337300,131800,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/2205/ca
Social workers,"Education, law and social services",social-workers,41300,94500,47.25,Secondary school diploma,77500,27600,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/23025/ca
Therapists in counselling and related specialized therapies,"Education, law and social services",therapists-in-counselling-and-related-specialized-therapies,41301,94500,47.25,Secondary school diploma,69900,33300,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/2263/ca
Religious leaders,"Education, law and social services",religious-leaders,41302,94500,47.25,Secondary school diploma,22300,15300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/2281/ca
Police investigators and other investigative occupations,"Education, law and social services",police-investigators-and-other-investigative-occupations,41310,94500,47.25,Secondary school diploma,11900,3800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Police%20investigators%20and%20other%20investigative%20occupations
Probation and parole officers,"Education, law and social services",probation-and-parole-officers,41311,94500,47.25,Secondary school diploma,7600,2400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3805/ca
Educational counsellors,"Education, law and social services",educational-counsellors,41320,94500,47.25,Secondary school diploma,24500,12600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24445/ca
Career development practitioners and career counsellors (except education),"Education, law and social services",career-development-practitioners-and-career-counsellors-except-education,41321,94500,47.25,Secondary school diploma,20900,9200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5143/ca
"Natural and applied science policy researchers, consultants and program officers","Education, law and social services",natural-and-applied-science-policy-researchers-consultants-and-program-officers,41400,94500,47.25,Secondary school diploma,37800,16300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3823/ca
Economists and economic policy researchers and analysts,"Education, law and social services",economists-and-economic-policy-researchers-and-analysts,41401,94500,47.25,Secondary school diploma,20100,6800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/15992/ca
Business development officers and market researchers and analysts,"Education, law and social services",business-development-officers-and-market-researchers-and-analysts,41402,94500,47.25,Secondary school diploma,33700,14700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/227202/ca
"Social policy researchers, consultants and program officers","Education, law and social services",social-policy-researchers-consultants-and-program-officers,41403,94500,47.25,Secondary school diploma,80400,29800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/3936/ca
"Health policy researchers, consultants and program officers","Education, law and social services",health-policy-researchers-consultants-and-program-officers,41404,94500,47.25,Secondary school diploma,45100,20400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/24541/ca
"Education policy researchers, consultants and program officers","Education, law and social services",education-policy-researchers-consultants-and-program-officers,41405,94500,47.25,Secondary school diploma,32200,16400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/15997/ca
"Recreation, sports and fitness policy researchers, consultants and program officers","Education, law and social services",recreation-sports-and-fitness-policy-researchers-consultants-and-program-officers,41406,94500,47.25,Secondary school diploma,9300,3300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/4955/ca
Program officers unique to government,"Education, law and social services",program-officers-unique-to-government,41407,94500,47.25,Secondary school diploma,10700,4100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Program%20officers%20unique%20to%20government
Other professional occupations in social science,"Education, law and social services",other-professional-occupations-in-social-science,41409,94500,47.25,Secondary school diploma,3700,1300,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/23107/ca
Police officers (except commissioned),"Education, law and social services",police-officers-except-commissioned,42100,103707,51.85,Secondary school diploma,79800,29800,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Police%20officers%20%28except%20commissioned%29
Firefighters,"Education, law and social services",firefighters,42101,103707,51.85,Secondary school diploma,39800,15900,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Firefighters
Specialized members of the Canadian Armed Forces,"Education, law and social services",specialized-members-of-the-canadian-armed-forces,42102,103707,51.85,Secondary school diploma,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Specialized%20members%20of%20the%20Canadian%20Armed%20Forces
Paralegals and related occupations,"Education, law and social services",paralegals-and-related-occupations,42200,103707,51.85,Secondary school diploma,36000,18700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16036/ca
Social and community service workers,"Education, law and social services",social-and-community-service-workers,42201,103707,51.85,Secondary school diploma,155600,55400,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/296338/ca
Early childhood educators and assistants,"Education, law and social services",early-childhood-educators-and-assistants,42202,103707,51.85,Secondary school diploma,246800,162400,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/5172/ca
Instructors of persons with disabilities,"Education, law and social services",instructors-of-persons-with-disabilities,42203,103707,51.85,Secondary school diploma,7100,1800,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/5198/ca
Religion workers,"Education, law and social services",religion-workers,42204,103707,51.85,Secondary school diploma,6500,2700,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16116/ca
Elementary and secondary school teacher assistants,"Education, law and social services",elementary-and-secondary-school-teacher-assistants,43100,51300,25.65,Secondary school diploma,105300,37200,6,Moderate Shortage,Moderate risk of Shortage,Moderate signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/16538/ca
Other instructors,"Education, law and social services",other-instructors,43109,51300,25.65,Secondary school diploma,31900,13900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5231/ca
Sheriffs and bailiffs,"Education, law and social services",sheriffs-and-bailiffs,43200,51300,25.65,Secondary school diploma,3400,1600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/16477/ca
Correctional service officers,"Education, law and social services",correctional-service-officers,43201,51300,25.65,Secondary school diploma,26100,8000,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6668/ca
By-law enforcement and other regulatory officers,"Education, law and social services",by-law-enforcement-and-other-regulatory-officers,43202,51300,25.65,Secondary school diploma,11000,5200,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/6681/ca
"Border services, customs, and immigration officers","Education, law and social services",border-services-customs-and-immigration-officers,43203,51300,25.65,Secondary school diploma,14700,4900,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/583/ca
Operations Members of the Canadian Armed Forces,"Education, law and social services",operations-members-of-the-canadian-armed-forces,43204,51300,25.65,Secondary school diploma,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Operations%20Members%20of%20the%20Canadian%20Armed%20Forces
Home child care providers,"Education, law and social services",home-child-care-providers,44100,62316,31.16,Secondary school diploma,19900,6400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/17171/ca
"Home support workers, caregivers and related occupations","Education, law and social services",home-support-workers-caregivers-and-related-occupations,44101,62316,31.16,Secondary school diploma,67400,26200,12,Strong Shortage,Strong risk of Shortage,Strong signs of Shortage,https://www.jobbank.gc.ca/marketreport/summary-occupation/26878/ca
Primary combat members of the Canadian Armed Forces,"Education, law and social services",primary-combat-members-of-the-canadian-armed-forces,44200,62316,31.16,Secondary school diploma,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/trend-analysis/search-occupations?searchKeyword=Primary%20combat%20members%20of%20the%20Canadian%20Armed%20Forces
"Student monitors, crossing guards and related occupations","Education, law and social services",student-monitors-crossing-guards-and-related-occupations,45100,36639,18.32,Secondary school diploma,19300,9100,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/14289/ca
"Library, archive, museum and art gallery managers","Art, culture, recreation and sport",library-archive-museum-and-art-gallery-managers,50010,54000,27.0,Short-term work demonstration,3300,1600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/12293/ca
"Managers - publishing, motion pictures, broadcasting and performing arts","Art, culture, recreation and sport",managers-publishing-motion-pictures-broadcasting-and-performing-arts,50011,54000,27.0,Short-term work demonstration,5600,2500,-4,Moderate Surplus,Moderate risk of Surplus,Moderate signs of Surplus,https://www.jobbank.gc.ca/marketreport/summary-occupation/17501/ca
"Recreation, sports and fitness program and service directors","Art, culture, recreation and sport",recreation-sports-and-fitness-program-and-service-directors,50012,54000,27.0,Short-term work demonstration,5800,2600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/1997/ca
Librarians,"Art, culture, recreation and sport",librarians,51100,71388,35.69,Short-term work demonstration,10400,3400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5263/ca
Conservators and curators,"Art, culture, recreation and sport",conservators-and-curators,51101,71388,35.69,Short-term work demonstration,3000,1400,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5284/ca
Archivists,"Art, culture, recreation and sport",archivists,51102,71388,35.69,Short-term work demonstration,,,,Undetermined,Undetermined,N/A,https://www.jobbank.gc.ca/marketreport/summary-occupation/16130/ca
Editors,"Art, culture, recreation and sport",editors,51110,71388,35.69,Short-term work demonstration,14000,5600,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/5332/ca
Authors and writers (except technical),"Art, culture, recreation and sport",authors-and-writers-except-technical,51111,71388,35.69,Short-term work demonstration,27200,10800,2,Balance,Balance,Balance,https://www.jobbank.gc.ca/marketreport/summary-occupation/20925/ca
